Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,0.00559881873049023,0.0255663639656606,-0.150314281789256,VAR,2
1,mean,0.0141014596570984,0.0337098474034712,-0.135608371381657,VAR,2
1,upper,0.0223278673294741,0.0413178906405531,-0.121983103267159,VAR,2
2,lower,0.00201268555221765,0.0246609542382161,-0.00294721868291503,VAR,2
2,mean,0.0115267157163293,0.0320889238581474,0.00615952401465791,VAR,2
2,upper,0.0213577425290843,0.0398437819521758,0.0151671690903709,VAR,2
3,lower,0.00769724096370354,0.0337406346294471,0.0267475028352104,VAR,2
3,mean,0.0187240477781115,0.0420367803234251,0.036162106566133,VAR,2
3,upper,0.0294060803498288,0.0503009335429653,0.0456263021991068,VAR,2
4,lower,0.0149374551404931,0.0467173304008358,0.0403202436678299,VAR,2
4,mean,0.0262012567356991,0.0550964866336125,0.0500593654352364,VAR,2
4,upper,0.0366577782235732,0.0640910856562747,0.0598337339595439,VAR,2
5,lower,0.0295493543170227,0.0594521032648193,0.0501903248129359,VAR,2
5,mean,0.0408939338358618,0.0682490306367561,0.0600325473710875,VAR,2
5,upper,0.0520853756724375,0.0775951639085039,0.0703771452912922,VAR,2
6,lower,0.0452356971925268,0.072149405298492,0.0592289439018999,VAR,2
6,mean,0.0573781690211695,0.081483112607284,0.070207123367638,VAR,2
6,upper,0.0686751885624417,0.0904202457221618,0.0801587655574548,VAR,2
