Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,-0.441706114959738,-0.483161825563577,-0.382963051223654,EMD,4
1,mean,-0.411571725706416,-0.446645940767799,-0.354491800620697,EMD,4
1,upper,-0.380392182014649,-0.40826912997577,-0.324327641321051,EMD,4
2,lower,-0.396732317308638,-0.388126979131594,-0.34106163649971,EMD,4
2,mean,-0.369694312259985,-0.358997931187165,-0.315906115367246,EMD,4
2,upper,-0.344693072472973,-0.332243108068289,-0.291362792417464,EMD,4
3,lower,-0.383516404010309,-0.367090019403947,-0.343602712458068,EMD,4
3,mean,-0.357843931672321,-0.342722326360337,-0.318891504707531,EMD,4
3,upper,-0.330738583652595,-0.316873055861214,-0.293675835713159,EMD,4
4,lower,-0.353755729186206,-0.344350719434154,-0.333755442502605,EMD,4
4,mean,-0.32825814012799,-0.32037353691294,-0.309948718055947,EMD,4
4,upper,-0.303645132426669,-0.298208836157626,-0.286345927484695,EMD,4
5,lower,-0.332393486909488,-0.31828713697249,-0.321718962407894,EMD,4
5,mean,-0.309625346405711,-0.297889254283921,-0.301079134131504,EMD,4
5,upper,-0.286611942353911,-0.277575089288135,-0.278773603432187,EMD,4
6,lower,-0.31027957618509,-0.294604971838453,-0.305582281684053,EMD,4
6,mean,-0.286658533801843,-0.273646383511354,-0.282277777323229,EMD,4
6,upper,-0.265300916017062,-0.253792386487223,-0.262330915319095,EMD,4
