Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,-0.0218315085958444,-0.0129260909984502,-0.00226989895064026,MC,3
1,mean,-0.0152816962528737,-0.00779150851462558,0.00320587630502571,MC,3
1,upper,-0.00931958321828551,-0.00282973275788051,0.00841170909675724,MC,3
2,lower,-0.0114755626324341,0.00207158001051672,0.00088385022914039,MC,3
2,mean,-0.00578248604757283,0.00686770906632487,0.00666790286677479,MC,3
2,upper,1.74770534578587e-05,0.0114426299828168,0.012085122302107,MC,3
3,lower,-0.00316830147350884,0.0139757028136103,0.00575357321108367,MC,3
3,mean,0.00328131953454634,0.0193072673211077,0.01188171485135,MC,3
3,upper,0.00978916913292803,0.024547263117655,0.0176929721300314,MC,3
4,lower,0.00215223494955525,0.0254500380788265,0.0140197710861038,MC,3
4,mean,0.00922196597013053,0.030587160132975,0.0203397651536932,MC,3
4,upper,0.0165275320024674,0.0363353436013013,0.0267045508527224,MC,3
5,lower,0.0150229062054212,0.0412648004069052,0.0224464990418394,MC,3
5,mean,0.0222360042802094,0.0468342868253459,0.0287513714011828,MC,3
5,upper,0.0297959361385186,0.0524451904233013,0.0355267949068261,MC,3
6,lower,0.0245972593350079,0.052988098079492,0.0318250567124226,MC,3
6,mean,0.0320512927240815,0.0584752535826268,0.0388637844009134,MC,3
6,upper,0.0400039563762044,0.0643914034055942,0.0460163150485425,MC,3
