Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,-0.0257834567029291,-0.0125486503896077,0.017985731251057,MC,5
1,mean,-0.0200011569782054,-0.00767125482584467,0.0233088567862059,MC,5
1,upper,-0.0142716913071297,-0.00289526447317075,0.0289373104453308,MC,5
2,lower,-0.0180774676843752,-0.00094007905143344,0.0113083074180528,MC,5
2,mean,-0.0115938325466434,0.00392270962264179,0.017064257676994,MC,5
2,upper,-0.00523545492373177,0.00887252607375251,0.0230089031533645,MC,5
3,lower,-0.0151286762272665,0.0117124915801334,0.00540682610067987,MC,5
3,mean,-0.00817297281790514,0.0167885867668199,0.0117789682164867,MC,5
3,upper,-0.00124843708116875,0.0223831796303607,0.0179974031598272,MC,5
4,lower,-0.011580213425508,0.021643545396601,0.00602102650247259,MC,5
4,mean,-0.00419656456097033,0.0273621021534524,0.0125572498649985,MC,5
4,upper,0.00302276423368388,0.0327698229341018,0.0189414923517688,MC,5
5,lower,0.000488915323874192,0.0393086715885761,0.0119052397789619,MC,5
5,mean,0.00859018466352594,0.0451768040597918,0.0190112973259103,MC,5
5,upper,0.0163216543429995,0.0507550637523164,0.0262809688119808,MC,5
6,lower,0.0115219752715981,0.0569051379015247,0.0208611610322221,MC,5
6,mean,0.0207239040434542,0.0629557055681941,0.0285446649271658,MC,5
6,upper,0.0292894308820559,0.0692315633909162,0.0360752994512556,MC,5
