Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,-0.0327181812496498,-0.0103768785856165,0.0132226586216807,MC,6
1,mean,-0.0267210255666224,-0.00571543611441178,0.0188881985072126,MC,6
1,upper,-0.0205452979794463,-0.00129723825367039,0.0241235625248279,MC,6
2,lower,-0.0193715766271298,0.0031846182405917,0.00887595570857697,MC,6
2,mean,-0.0132827675442534,0.0080617389371131,0.0146973860006793,MC,6
2,upper,-0.00722056736691536,0.012989817378124,0.0204303282138726,MC,6
3,lower,-0.0157065091188057,0.0113712390726454,0.00548711195173137,MC,6
3,mean,-0.00870567635517798,0.0165414463932498,0.0114833083400963,MC,6
3,upper,-0.00153643974498158,0.0220968704200726,0.0175693941416803,MC,6
4,lower,-0.00901755676275705,0.0254519377191533,0.00695215772986363,MC,6
4,mean,-0.00140466437123365,0.0312196891262452,0.013492244979625,MC,6
4,upper,0.00631152996487499,0.0364519433173109,0.0199945597906678,MC,6
5,lower,-0.00204390124437449,0.0411019473334929,0.0121468596091022,MC,6
5,mean,0.00631843715006731,0.0468622085287778,0.0193920766980231,MC,6
5,upper,0.014418386206652,0.0526036844408735,0.0263565874031747,MC,6
6,lower,0.0155263568414238,0.0623545811914298,0.0224624745397472,MC,6
6,mean,0.0243503516634715,0.0683277772557292,0.0301508764396813,MC,6
6,upper,0.0322704858110452,0.0739623226048778,0.0373357820493245,MC,6
