Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,-0.0287530448304956,-0.0145106861430634,0.00961021776689054,MC,8
1,mean,-0.0214227524616303,-0.00839367858379039,0.0164218355425023,MC,8
1,upper,-0.0142935629179129,-0.00215318975527685,0.0230338032182155,MC,8
2,lower,-0.0135501776947735,0.00150685777308759,0.0139148429284212,MC,8
2,mean,-0.00603097133515866,0.00780517156554242,0.0210620958529647,MC,8
2,upper,0.00136734941689707,0.013951189931169,0.0280153914486761,MC,8
3,lower,-0.00198003692106914,0.00952467291723123,0.0161772644496309,MC,8
3,mean,0.00668325355922237,0.0163968070510395,0.0238688621914871,MC,8
3,upper,0.014922530262174,0.0234786663126905,0.0319444549684387,MC,8
4,lower,0.00579094441886132,0.0146955385392857,0.0171625903760914,MC,8
4,mean,0.015357239596672,0.0225921583592661,0.0256263460682211,MC,8
4,upper,0.0248963457145623,0.0310040495398926,0.0335651405041958,MC,8
5,lower,0.0118353848604709,0.0206801349726879,0.0207765437880268,MC,8
5,mean,0.0225248764532016,0.029019189732677,0.0294481445831847,MC,8
5,upper,0.0326566556112198,0.0376705151302762,0.0379855070121015,MC,8
6,lower,0.0195662593231356,0.0301672284643825,0.0261236669303823,MC,8
6,mean,0.0303888097201315,0.0395698989228495,0.0357606057486541,MC,8
6,upper,0.0407558541907156,0.0487509250986245,0.0448143014065789,MC,8
