Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,-0.0275347502362665,-0.00838322318728117,0.0186560491584082,MC,10
1,mean,-0.021998833531234,-0.00387601955482201,0.023979809424703,MC,10
1,upper,-0.0164082603759306,0.000393135609432599,0.0294273029204048,MC,10
2,lower,-0.0189098014713757,0.00489939362933198,0.0117221173517668,MC,10
2,mean,-0.013357265051785,0.00887369371812247,0.0168066576820152,MC,10
2,upper,-0.0078472960784079,0.0128878445868577,0.0220221578751801,MC,10
3,lower,-0.017152244872682,0.0184906140120939,0.0114573237329594,MC,10
3,mean,-0.0111340532628915,0.0225436259975898,0.0170645574494371,MC,10
3,upper,-0.00521359555685019,0.026694496815384,0.0224266047816406,MC,10
4,lower,-0.00865113532109801,0.0392480083190193,0.0152447731409068,MC,10
4,mean,-0.00170441027239606,0.0436173879828461,0.02120606660786,MC,10
4,upper,0.00545149261753481,0.0479876109885819,0.0274295921179191,MC,10
5,lower,-0.00225529749725512,0.0545571768217818,0.0242892886669225,MC,10
5,mean,0.00605946432317025,0.0597685483487829,0.031274492358043,MC,10
5,upper,0.0144634336526937,0.0647740267207349,0.0378700664061469,MC,10
6,lower,0.0126672578617723,0.0762649545835053,0.0350447934040398,MC,10
6,mean,0.0215291885159995,0.0813013029468315,0.0423125863406095,MC,10
6,upper,0.0309269331652914,0.0869626951704598,0.0503416322203793,MC,10
