Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,0.0778655968087203,0.0926564948043407,-0.0875633802004693,VAR,6
1,mean,0.0913148423784039,0.105489365815854,-0.0722857299981542,VAR,6
1,upper,0.103826955755138,0.11752632772942,-0.0577421439398867,VAR,6
2,lower,0.0831245745332633,0.102891278157561,0.0705932252112961,VAR,6
2,mean,0.0963276358151407,0.114632636369248,0.0817654923402263,VAR,6
2,upper,0.108872934278377,0.12640258645975,0.0932169865289392,VAR,6
3,lower,0.0937453291674662,0.117451599050014,0.104156396064945,VAR,6
3,mean,0.106562052340604,0.128016452039715,0.114577072009453,VAR,6
3,upper,0.118901115359711,0.139220915013585,0.126062445548119,VAR,6
4,lower,0.10173873248571,0.126962018014256,0.110938396529946,VAR,6
4,mean,0.115653848838714,0.138578868739855,0.123526891590203,VAR,6
4,upper,0.128392684570025,0.149876119090166,0.135318828488345,VAR,6
5,lower,0.110301854762904,0.136604707489785,0.113192171684045,VAR,6
5,mean,0.123663132751265,0.147714234004409,0.125485861564468,VAR,6
5,upper,0.136490868944138,0.15862267137276,0.137523486802902,VAR,6
6,lower,0.118407977497192,0.144783161310794,0.112534835295159,VAR,6
6,mean,0.131893547305291,0.155725601661273,0.125441641772384,VAR,6
6,upper,0.144835399131011,0.167486346272602,0.137813132632402,VAR,6
