Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,-0.0293238253815033,-0.00990186063348424,0.0174501714290988,MC,4
1,mean,-0.0230972285293196,-0.00451620543819528,0.0242253911185882,MC,4
1,upper,-0.0163474576870726,0.000787438226631128,0.0305187171438234,MC,4
2,lower,-0.0157968128223249,0.00283480619931011,0.0131889817183695,MC,4
2,mean,-0.00796735426308935,0.00891414403207644,0.0202008660231514,MC,4
2,upper,0.000126421037281115,0.0151647753470916,0.0277415907264888,MC,4
3,lower,-0.00945367885466148,0.0109483799716569,0.0101739726899201,MC,4
3,mean,-0.00118072270605375,0.0175571411282322,0.0180608030516594,MC,4
3,upper,0.00699019469425169,0.0243966481266291,0.0254108348980717,MC,4
4,lower,-0.00416526630664226,0.0194203340752084,0.0105455038718192,MC,4
4,mean,0.00478349922498899,0.0260280991077475,0.0183510381049593,MC,4
4,upper,0.0140949083197314,0.0332890803263749,0.0266380523760383,MC,4
5,lower,0.0026327434530646,0.0285025333388093,0.0110344142619415,MC,4
5,mean,0.0110782393921568,0.0352380414103207,0.0188111953342787,MC,4
5,upper,0.0196880154908258,0.0419423219222487,0.0265676713701543,MC,4
6,lower,0.00950555763850213,0.038442637004365,0.0150303032433521,MC,4
6,mean,0.0185448641734723,0.0459639872553756,0.023205399994683,MC,4
6,upper,0.0281063080371295,0.0532244982303253,0.0314485581495712,MC,4
