Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,0.0136320177422704,0.0278401782398213,-0.123497744697562,VAR,1
1,mean,0.0212060453205931,0.0347691953200499,-0.109699719815654,VAR,1
1,upper,0.0286906645088242,0.0413862943449897,-0.0963939632367123,VAR,1
2,lower,0.0339006671643256,0.050080683308087,0.0161627020120563,VAR,1
2,mean,0.0427700851151244,0.0574764352997525,0.0261153496281586,VAR,1
2,upper,0.0514154891597546,0.0643999074362296,0.0350963508184114,VAR,1
3,lower,0.0481011861099623,0.0674212633533131,0.0549303835506412,VAR,1
3,mean,0.0571847659582548,0.0755108515639001,0.0639761275789008,VAR,1
3,upper,0.0664885215163497,0.084506841666377,0.0733152976024537,VAR,1
4,lower,0.0585760818778092,0.0815851448588763,0.073769218140131,VAR,1
4,mean,0.0684718807945383,0.0904306599257224,0.0828141173572173,VAR,1
4,upper,0.0785951042989646,0.0985364296106872,0.0921173680090225,VAR,1
5,lower,0.0692582572203833,0.0962792912704844,0.0830037360594088,VAR,1
5,mean,0.0800508364782498,0.10476809382519,0.0926103591818954,VAR,1
5,upper,0.0907573031820606,0.113636089636074,0.102698562687425,VAR,1
6,lower,0.0828879523905004,0.109627697964749,0.0910283840984753,VAR,1
6,mean,0.0938340340544202,0.118567803788061,0.101339695070896,VAR,1
6,upper,0.105444315292755,0.128163678013134,0.112070409187131,VAR,1
