Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,-0.386820355011513,-0.417378997722073,-0.374480443203272,EMD,2
1,mean,-0.3580566607316,-0.373936853518335,-0.34462151689093,EMD,2
1,upper,-0.32783646985961,-0.332670235466978,-0.316055582058145,EMD,2
2,lower,-0.405960827278898,-0.370542859236946,-0.364458330277725,EMD,2
2,mean,-0.380444710766018,-0.339973825922593,-0.339451812842384,EMD,2
2,upper,-0.355829583885082,-0.309201907287067,-0.315268857373339,EMD,2
3,lower,-0.417411764814411,-0.360275385238761,-0.368312279450109,EMD,2
3,mean,-0.393844272761148,-0.335478597907156,-0.346047322728452,EMD,2
3,upper,-0.369207109866151,-0.312021080962327,-0.324410599601054,EMD,2
4,lower,-0.411512607778474,-0.344642813133993,-0.361557968242712,EMD,2
4,mean,-0.386491748512674,-0.320877852140729,-0.339029696722533,EMD,2
4,upper,-0.36174863208006,-0.298328010406742,-0.316110640978135,EMD,2
5,lower,-0.390299333902923,-0.325676103770905,-0.342734868562222,EMD,2
5,mean,-0.365660389149999,-0.303123407583682,-0.320163542961233,EMD,2
5,upper,-0.341514844298221,-0.281443573813762,-0.298150778188806,EMD,2
6,lower,-0.369875663774362,-0.31000348404344,-0.324718078020575,EMD,2
6,mean,-0.347422651082154,-0.289786540095074,-0.302897927667466,EMD,2
6,upper,-0.325034137548384,-0.268933103221999,-0.281978041646131,EMD,2
