Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,0.0351940295903114,0.0534958604522002,-0.147450357858011,VAR,3
1,mean,0.0442546314605967,0.0624738005577057,-0.133229418919002,VAR,3
1,upper,0.0535325993457459,0.0711288442818097,-0.118875479885023,VAR,3
2,lower,0.0429531447454457,0.0711293236757415,0.0252190327060619,VAR,3
2,mean,0.0532878531615872,0.0792294377707952,0.0347480088801323,VAR,3
2,upper,0.0641681120745701,0.0877571600762365,0.0440235926388166,VAR,3
3,lower,0.0550430795857101,0.0871978686716724,0.0640474355274847,VAR,3
3,mean,0.067540689920131,0.0969104342705135,0.074885987858265,VAR,3
3,upper,0.0789670540507379,0.106449350360255,0.0847348021601233,VAR,3
4,lower,0.0716015623115529,0.101147813920709,0.0827372375105401,VAR,3
4,mean,0.0832485753579486,0.110276053241471,0.0929555465100416,VAR,3
4,upper,0.0955181423761058,0.118958832965485,0.102547465417061,VAR,3
5,lower,0.0855043709502844,0.115390720350631,0.0962875315857984,VAR,3
5,mean,0.0975522531834089,0.124487486327871,0.106531383905417,VAR,3
5,upper,0.109687138707768,0.133321280343654,0.116348494766212,VAR,3
6,lower,0.0973290153983778,0.125505628158914,0.103405955206285,VAR,3
6,mean,0.109786076310678,0.135915463982245,0.115027875227476,VAR,3
6,upper,0.122370723128691,0.14578678878796,0.126355757202956,VAR,3
