Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,0.0522352973044493,0.0727605863777539,-0.0417856436131862,VAR,4
1,mean,0.0624930391686394,0.083211264195281,-0.028891040450593,VAR,4
1,upper,0.0735909039089519,0.0942208485992409,-0.0164739163025475,VAR,4
2,lower,0.0632475161160832,0.0834497634616391,0.0689773996587992,VAR,4
2,mean,0.0741406433924126,0.093699280363132,0.0796136704443719,VAR,4
2,upper,0.0866243368658163,0.104074923846883,0.0906831236098171,VAR,4
3,lower,0.0765820717500561,0.0988463289948508,0.0915053856781187,VAR,4
3,mean,0.0889470027213764,0.109941589127691,0.102250154045649,VAR,4
3,upper,0.100388090827013,0.120496105703804,0.112573639749927,VAR,4
4,lower,0.0841342104959202,0.10487951834853,0.0930640595758879,VAR,4
4,mean,0.0957510377778217,0.115911131640912,0.103801770672774,VAR,4
4,upper,0.108239811910245,0.127572625101298,0.11515703883916,VAR,4
5,lower,0.0813776485086833,0.108778838986669,0.0844815620258048,VAR,4
5,mean,0.0947063374046382,0.119951509363313,0.0967205061909948,VAR,4
5,upper,0.107537805258103,0.131109979606316,0.108855180305392,VAR,4
6,lower,0.080088991624377,0.113684614022866,0.0790377783908248,VAR,4
6,mean,0.092988924121523,0.125080790445733,0.0917734460474129,VAR,4
6,upper,0.104818979969464,0.136207407260418,0.103727817442575,VAR,4
