Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,-0.362647115111591,-0.385449952284495,-0.356856746578898,EMD,7
1,mean,-0.338029677891379,-0.350868505107806,-0.331379491773282,EMD,7
1,upper,-0.312981384021376,-0.315750718110613,-0.305862235304765,EMD,7
2,lower,-0.349623891162997,-0.318471108521962,-0.308325716317951,EMD,7
2,mean,-0.325986636991034,-0.29317939078958,-0.287083571230171,EMD,7
2,upper,-0.30337660737775,-0.26801447358083,-0.265616458978409,EMD,7
3,lower,-0.392092371600951,-0.354846298981883,-0.343934787937136,EMD,7
3,mean,-0.369271633835133,-0.331244103975869,-0.322588597605791,EMD,7
3,upper,-0.344901111047824,-0.305374401056929,-0.299605772459456,EMD,7
4,lower,-0.434891971934766,-0.394944443255711,-0.381829613030165,EMD,7
4,mean,-0.409085236746618,-0.369676281002098,-0.358707545754138,EMD,7
4,upper,-0.384643598232803,-0.344816003467133,-0.335445453021817,EMD,7
5,lower,-0.459160563870156,-0.413866276323379,-0.40459125239242,EMD,7
5,mean,-0.431686586743472,-0.387866619465489,-0.379317639272617,EMD,7
5,upper,-0.406991240392047,-0.36450735287452,-0.356946065442642,EMD,7
6,lower,-0.438686844905542,-0.400701590547165,-0.391954741678871,EMD,7
6,mean,-0.413378692492875,-0.376828341620836,-0.36906977967114,EMD,7
6,upper,-0.389558670981121,-0.355378525279695,-0.346661857241691,EMD,7
