Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,-0.401338233558014,-0.450826516139456,-0.407122659925143,EMD,3
1,mean,-0.37316525256118,-0.411765768643062,-0.378390034430652,EMD,3
1,upper,-0.345824524647571,-0.371287842029061,-0.351007827128896,EMD,3
2,lower,-0.346056904847944,-0.325148046244398,-0.312682407185546,EMD,3
2,mean,-0.324346377839677,-0.300586367851865,-0.292525656012773,EMD,3
2,upper,-0.301739966848758,-0.277086346865453,-0.272028649502529,EMD,3
3,lower,-0.345500097459362,-0.310476625001833,-0.306683532944767,EMD,3
3,mean,-0.322622745408365,-0.287884005290581,-0.286081717929815,EMD,3
3,upper,-0.30282056269129,-0.268130086835524,-0.26725605564446,EMD,3
4,lower,-0.331462224457714,-0.297067298681174,-0.294876466736667,EMD,3
4,mean,-0.310953522703581,-0.278437897477706,-0.276647939439525,EMD,3
4,upper,-0.290636018733987,-0.25914324045302,-0.257563606722754,EMD,3
5,lower,-0.304037385533894,-0.281357306977877,-0.276931133022884,EMD,3
5,mean,-0.285082263036173,-0.263719042562966,-0.258888673899318,EMD,3
5,upper,-0.264430868024601,-0.244469587831743,-0.239964053055313,EMD,3
6,lower,-0.299460270115924,-0.281683145069666,-0.276018547861042,EMD,3
6,mean,-0.27698965948554,-0.262261074318605,-0.255285370476581,EMD,3
6,upper,-0.257476474955201,-0.243450677870133,-0.236217996620668,EMD,3
