Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,-0.0274201230866633,-0.0204655493831726,0.00358637412037095,MC,7
1,mean,-0.0199222363483217,-0.0137503627461411,0.010152569265687,MC,7
1,upper,-0.0130129067109479,-0.0070857199071469,0.0168820591411707,MC,7
2,lower,-0.0205144377418246,-0.0093802405622179,0.00635782980287456,MC,7
2,mean,-0.0129136999438398,-0.00298900841882273,0.0135979824058025,MC,7
2,upper,-0.0049021077190824,0.00349303931327052,0.0208133874719414,MC,7
3,lower,-0.00888723656701802,0.00190596866425219,0.0111092007740192,MC,7
3,mean,0.000109116531774839,0.00879722512180277,0.0192593419544092,MC,7
3,upper,0.00815598198993635,0.0154749935001092,0.0270297159393064,MC,7
4,lower,0.00281685553847832,0.0123344228197622,0.0175573622849148,MC,7
4,mean,0.0117850098300278,0.0195981454106858,0.0253154233229219,MC,7
4,upper,0.0209251387965948,0.0270978830804358,0.0338570695444057,MC,7
5,lower,0.0081652304991515,0.0200990355691914,0.0222129878987996,MC,7
5,mean,0.0174366773861162,0.0281973444603068,0.0305394138388073,MC,7
5,upper,0.0268046953294636,0.035478482806128,0.0388073333655746,MC,7
6,lower,0.0152042293378574,0.0274545566168162,0.0269959265472278,MC,7
6,mean,0.024625391152187,0.0354221398580015,0.0354655802959265,MC,7
6,upper,0.0348521375407844,0.0440430711064729,0.0439455694346878,MC,7
