Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,0.00474127627401734,0.0279383564866098,-0.129812194880473,VAR,8
1,mean,0.0130410806622828,0.0352245704723852,-0.117312937698153,VAR,8
1,upper,0.0222212572631832,0.0426176617572292,-0.104821646309683,VAR,8
2,lower,0.00687229592779617,0.0384461962408238,0.000694540026469701,VAR,8
2,mean,0.0176845237348718,0.0463637393634221,0.0103778845372551,VAR,8
2,upper,0.028147278542213,0.0548347179795763,0.0199570820919338,VAR,8
3,lower,0.0162823198401481,0.0476800830607522,0.0324465178508044,VAR,8
3,mean,0.0281490878666976,0.0574940926559173,0.0427082650513414,VAR,8
3,upper,0.0395590359316452,0.0663896018368077,0.0523659141041845,VAR,8
4,lower,0.0235454630671208,0.0577736654460512,0.0456292805957543,VAR,8
4,mean,0.0367643935442951,0.0687140552751207,0.0567967509592979,VAR,8
4,upper,0.049495377112197,0.0789385311503772,0.0676316840489064,VAR,8
5,lower,0.0313147535079442,0.0659169574565208,0.0519014198451795,VAR,8
5,mean,0.0458555492429129,0.0771826240583285,0.0634528962117945,VAR,8
5,upper,0.0598196996878179,0.0886142904457226,0.076067473957735,VAR,8
6,lower,0.0434583460403704,0.0752961676871439,0.0579295780754704,VAR,8
6,mean,0.0567774034403284,0.0857520553194636,0.0691052521542048,VAR,8
6,upper,0.0705095803751387,0.0974306735585792,0.0814887121199439,VAR,8
