Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,-0.38065680633485,-0.409917146591388,-0.380570567965091,EMD,8
1,mean,-0.350985779683081,-0.373151719369092,-0.353076182983784,EMD,8
1,upper,-0.321670721259734,-0.335093405389325,-0.32467554069748,EMD,8
2,lower,-0.343426456404238,-0.315008203490268,-0.321883825255133,EMD,8
2,mean,-0.319273479920421,-0.289084592761986,-0.299892300145718,EMD,8
2,upper,-0.297619054753364,-0.263932186110512,-0.277815692099995,EMD,8
3,lower,-0.384143221635964,-0.334962951975293,-0.343158106463334,EMD,8
3,mean,-0.359606302227596,-0.31125494275916,-0.321799741756636,EMD,8
3,upper,-0.334535395460008,-0.287187175141094,-0.299631043339862,EMD,8
4,lower,-0.449994907929134,-0.390331989358396,-0.391831824349072,EMD,8
4,mean,-0.422026926759499,-0.36364713163302,-0.368235358627242,EMD,8
4,upper,-0.392872726575055,-0.336789295299176,-0.341869662665557,EMD,8
5,lower,-0.466192510391016,-0.408698224483728,-0.414356327929308,EMD,8
5,mean,-0.438059313018051,-0.383709878264827,-0.388469158211692,EMD,8
5,upper,-0.411193170241083,-0.357241802538435,-0.363012819626698,EMD,8
6,lower,-0.453586668690757,-0.400332870913667,-0.408408833871624,EMD,8
6,mean,-0.427524899830784,-0.376606231407442,-0.384561518544152,EMD,8
6,upper,-0.400934500864514,-0.353181299206106,-0.361554972346396,EMD,8
