Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,-0.403263112647159,-0.427111124986999,-0.381099563547021,EMD,1
1,mean,-0.373189686237302,-0.390592261087933,-0.354126109223407,EMD,1
1,upper,-0.344985501236346,-0.354267699266396,-0.326078075830584,EMD,1
2,lower,-0.388736754121402,-0.371548282978497,-0.34379250588016,EMD,1
2,mean,-0.361336410371182,-0.342888605914373,-0.319153658660831,EMD,1
2,upper,-0.337611749185142,-0.316107663910768,-0.296414924725111,EMD,1
3,lower,-0.42364011706492,-0.392192005897947,-0.380321696078681,EMD,1
3,mean,-0.397390324615278,-0.365592739155851,-0.355068842921184,EMD,1
3,upper,-0.371065338761848,-0.338621244592234,-0.330746800704706,EMD,1
4,lower,-0.453886156958598,-0.409606239716126,-0.408280612367178,EMD,1
4,mean,-0.425982342151372,-0.382836176257047,-0.380887138730454,EMD,1
4,upper,-0.398930730538559,-0.357232094804969,-0.355565309743238,EMD,1
5,lower,-0.441006588164942,-0.398425173678654,-0.405176152061033,EMD,1
5,mean,-0.414832098097539,-0.373671957383782,-0.379996474562962,EMD,1
5,upper,-0.390435753590714,-0.349851193392182,-0.356044784124719,EMD,1
6,lower,-0.411497477590915,-0.370784386352375,-0.384590588470958,EMD,1
6,mean,-0.385276083287177,-0.348288349240919,-0.361957067963053,EMD,1
6,upper,-0.359733011041391,-0.324406880402009,-0.338494207750295,EMD,1
