Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,0.0656152841894658,0.0821897881738951,-0.0863795219540237,VAR,5
1,mean,0.0771231653162215,0.0940204508634873,-0.0721764922336032,VAR,5
1,upper,0.0895235678075818,0.105649686946656,-0.0578939632196868,VAR,5
2,lower,0.0762908884726822,0.0922976238704714,0.063873444357489,VAR,5
2,mean,0.0881650719645527,0.103758123747639,0.0752576172537821,VAR,5
2,upper,0.100181319957732,0.115352166601301,0.0872116923231731,VAR,5
3,lower,0.0759758599425818,0.107415050395197,0.0900397797830287,VAR,5
3,mean,0.088816700450281,0.118644969731269,0.10139101741021,VAR,5
3,upper,0.101930033705399,0.130080339271044,0.112595361144492,VAR,5
4,lower,0.0874605013328356,0.119442098477718,0.0979612814104861,VAR,5
4,mean,0.0999333756572445,0.130073683051375,0.108856939482803,VAR,5
4,upper,0.112700887604233,0.140824052556195,0.119763117945315,VAR,5
5,lower,0.0930956335520064,0.12897312376613,0.0973089609282757,VAR,5
5,mean,0.105940400174969,0.139213023674973,0.108955779899122,VAR,5
5,upper,0.118396398550424,0.150045516589911,0.120539712406071,VAR,5
6,lower,0.100131313012795,0.135317884991557,0.0948749675134408,VAR,5
6,mean,0.113572866439714,0.146799506031782,0.10810322938666,VAR,5
6,upper,0.126186982325241,0.158200115763989,0.120752735797962,VAR,5
