Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,-0.556522337735008,-0.573278607253315,-0.527961055411365,EMD,9
1,mean,-0.521125367116944,-0.528642936858757,-0.496088027796413,EMD,9
1,upper,-0.485341421478788,-0.483289750148016,-0.463071747981407,EMD,9
2,lower,-0.488165836711622,-0.460061237613316,-0.439490071640841,EMD,9
2,mean,-0.458588514826964,-0.427425588142578,-0.412490999411763,EMD,9
2,upper,-0.430152435517056,-0.397313092802489,-0.386882440331265,EMD,9
3,lower,-0.487050597430175,-0.457681611422925,-0.444607586622601,EMD,9
3,mean,-0.45972275338696,-0.427925758821047,-0.418313557710767,EMD,9
3,upper,-0.431175621578566,-0.399474719873994,-0.391229703035904,EMD,9
4,lower,-0.469509163884898,-0.441479160341422,-0.43459536327057,EMD,9
4,mean,-0.442498708422533,-0.414987463301454,-0.410117405002176,EMD,9
4,upper,-0.416742036183076,-0.389464247714333,-0.38588021615425,EMD,9
5,lower,-0.42415061150955,-0.401843822509445,-0.398783418075093,EMD,9
5,mean,-0.398565908941131,-0.378688407227832,-0.376107710044391,EMD,9
5,upper,-0.373159206714576,-0.354166811679897,-0.351424226542053,EMD,9
6,lower,-0.385560261808052,-0.372519766585081,-0.371964382086422,EMD,9
6,mean,-0.361214593273017,-0.349295745408981,-0.348028288351401,EMD,9
6,upper,-0.336894670438382,-0.326184873139138,-0.325984677610174,EMD,9
