Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,-0.42896496529244,-0.473693364889148,-0.387748859553787,EMD,5
1,mean,-0.399008259284948,-0.43487662587508,-0.357128370408507,EMD,5
1,upper,-0.369183448093794,-0.397498931866055,-0.328041314501871,EMD,5
2,lower,-0.361173603871416,-0.351587051054766,-0.309275731929513,EMD,5
2,mean,-0.337062274136731,-0.326309557756852,-0.287471656165811,EMD,5
2,upper,-0.312894401970421,-0.302353080593008,-0.265822141604326,EMD,5
3,lower,-0.35659003196844,-0.327570343327821,-0.305179451429366,EMD,5
3,mean,-0.332728336783685,-0.305950015860213,-0.284924904187433,EMD,5
3,upper,-0.310398318859525,-0.284641671815594,-0.264193107524569,EMD,5
4,lower,-0.334006178175706,-0.302286515253768,-0.295532071177054,EMD,5
4,mean,-0.312685807251099,-0.283906538164254,-0.27680556094586,EMD,5
4,upper,-0.292330783550524,-0.265472047419112,-0.258359753628051,EMD,5
5,lower,-0.320964957570103,-0.289306497705107,-0.294160367965072,EMD,5
5,mean,-0.30073767118401,-0.270995824394275,-0.274236854449398,EMD,5
5,upper,-0.279334992686902,-0.252122176355273,-0.254614585080693,EMD,5
6,lower,-0.304415047785873,-0.273178796457922,-0.286135922983353,EMD,5
6,mean,-0.282185236323708,-0.254964082724134,-0.265122607210639,EMD,5
6,upper,-0.261818838361442,-0.237116231363386,-0.245509639447455,EMD,5
