model,IMF 1,IMF 2,IMF 3,IMF 4,IMF 5,IMF 6,IMF 7,IMF 8,IMF 9,Residual 10,Residual 3,Residual 4,Residual 5,Residual 6,Residual 7,Residual 8,Residual 9,type
anfis,0.849926588254171,0.193297025669799,0.486818955733281,0.438782707101111,0.263308818830101,0.20695198228973,0.180816983963073,0.106775245342434,0.0556154741296142,0.130225580010229,0.709993132767961,0.570617861181726,0.395703779822822,0.297107822584364,0.255676843944357,0.179079205484365,0.127438667808187,MAE
arma,0.337769150599663,0.090542537191365,0.146572305347978,0.181386195490021,0.15325387757404,0.269306519117466,0.542279980214525,0.0923012039929161,0.0398622684113606,0.0745988075429502,0.310522769468779,0.319735307469696,0.287604967786223,0.204483022782789,0.321338991413004,0.129834173455541,0.0872999289508107,MAE
arma1,0.319811989063762,0.0866240256569198,0.12399816485539,0.190429086591096,0.153808258723929,0.108933568301634,0.094378879599639,0.0621606450751314,0.0380993630508571,0.0747655916622282,0.314958409908119,0.320143724554196,0.287639628696901,0.204485282600288,0.162018116196192,0.113166823901663,0.0858576820569834,MAE
anfis,0.0952200708285927,0.0186701973927377,0.0305220870956017,0.0284557347142891,0.0229587136211568,0.0320720416952869,0.0197921301430784,0.0132676471964142,0.00684650661263439,0.0158478540408983,0.0505457034203003,0.0412854885660376,0.0520911110729907,0.0123669848825963,0.034492418194502,0.0109774561913784,0.0117485517434465,SE
arma,0.0205681115675846,0.0121422884943028,0.00871992375940722,0.0185930594060844,0.0242927231382028,0.0565788513898723,0.0899715470861877,0.0139190255243446,0.00786653028406199,0.00617878395352514,0.024538066832448,0.0364078469705646,0.027989950644937,0.0135639107550696,0.0762749208411223,0.0164879742643131,0.00693046208730032,SE
arma1,0.0381598747137538,0.0125299147516539,0.00595459462921373,0.0214742190755625,0.0264503448660659,0.0157144096144875,0.00492613367699807,0.00980071097772615,0.00713654192904097,0.00559245465882253,0.0269197155983128,0.0423332870747438,0.0265568372477457,0.0147973850717935,0.0133180721596871,0.00833284426111204,0.00633269197470737,SE
