model,IMF 1,IMF 2,IMF 3,IMF 4,IMF 5,IMF 6,IMF 7,IMF 8,IMF 9,Residual 10,Residual 3,Residual 4,Residual 5,Residual 6,Residual 7,Residual 8,Residual 9,type
anfis,0.552915363,0.170601349,0.399873495,0.375976299,0.338613808,0.313251309,0.191567897,0.13671858,0.071131013,0.127398381,0.666784571,0.568636919,0.461819263,0.35287758,0.292138604,0.206732309,0.153050293,MAE
arma,0.318466104,0.097510826,0.119658349,0.187631621,0.154484641,0.24875955,0.515636458,0.113755949,0.052051224,0.082821435,0.36530834,0.330826633,0.293289625,0.236316982,0.269752989,0.19208111,0.101337439,MAE
arma1,0.330171292,0.098501547,0.128138432,0.198188752,0.15518622,0.125511372,0.104180214,0.082126205,0.049612963,0.082762382,0.366308254,0.33107835,0.293399403,0.236322051,0.179219342,0.139486798,0.100973785,MAE
anfis,0.054498885,0.020598894,0.038345696,0.027287515,0.04020233,0.088329127,0.033008038,0.021705732,0.006839544,0.010091917,0.045936635,0.03433649,0.032549074,0.02028135,0.03338199,0.016587038,0.010347407,SE
arma,0.029233812,0.006052199,0.012050156,0.020568675,0.016089032,0.040232795,0.068178288,0.010730957,0.005081616,0.006425824,0.030821987,0.019309168,0.015442742,0.016825223,0.080520837,0.040412722,0.006322597,SE
arma1,0.024617531,0.006942572,0.009930981,0.02202815,0.016340592,0.009997813,0.011984454,0.009267353,0.005154961,0.005958062,0.030325826,0.022985372,0.014401386,0.016154601,0.013822518,0.010709023,0.006000747,SE
opt_model,arma,arma,arma,arma,arma,arma1,arma1,arma1,arma1,arma,arma,arma,arma,arma,arma1,arma1,arma,
