model,IMF 1,IMF 2,IMF 3,IMF 4,IMF 5,IMF 6,IMF 7,IMF 8,IMF 9,Residual 10,Residual 3,Residual 4,Residual 5,Residual 6,Residual 7,Residual 8,Residual 9,type
anfis,0.886738043,0.163883766,0.403483912,0.466416646,0.297165799,0.218061583,0.177400518,0.147957937,0.041827529,0.125570606,0.805853021,0.713326449,0.514475748,0.409458936,0.273088666,0.251281213,0.133080503,MAE
arma,0.333509938,0.100885749,0.17729376,0.238665709,0.172678314,0.278253058,0.449540381,0.109550539,0.03749021,0.082852724,0.40148748,0.357277929,0.323037963,0.274838428,0.29072373,0.143073268,0.090831023,MAE
arma1,0.377144229,0.097713662,0.159768549,0.247973806,0.176080699,0.13947782,0.109752462,0.074067189,0.035989636,0.082786141,0.402378415,0.359265921,0.323215865,0.274842446,0.207244819,0.134199691,0.090108643,MAE
anfis,0.058118054,0.012975662,0.025122619,0.036306839,0.032009515,0.023488216,0.019619495,0.024847561,0.002796608,0.014784552,0.063054514,0.054903077,0.046605692,0.077603684,0.024495348,0.028239377,0.016471081,SE
arma,0.039968599,0.005200107,0.013902898,0.019883732,0.012783752,0.051104283,0.061740797,0.02340168,0.003540093,0.00593556,0.035928027,0.025808229,0.032308475,0.030709143,0.039497186,0.016646045,0.0084698,SE
arma1,0.034964706,0.006101002,0.013800418,0.025286336,0.013321729,0.017279913,0.011610206,0.006133242,0.003366892,0.005777219,0.031488885,0.02575572,0.033126473,0.029122403,0.018226524,0.011518771,0.008206238,SE
opt_model,arma,arma1,arma1,arma,arma,arma1,arma1,arma1,arma,arma,arma,arma,arma,arma,arma1,arma1,arma,
