model,IMF 1,IMF 2,IMF 3,IMF 4,IMF 5,IMF 6,IMF 7,IMF 8,IMF 9,Residual 10,Residual 3,Residual 4,Residual 5,Residual 6,Residual 7,Residual 8,Residual 9,type
arma,0.288315628,0.09109556,0.121923623,0.126165467,0.141821236,0.125129493,0.283925751,0.08308915,0.037405167,0.073553924,0.296103058,0.264142534,0.232620975,0.196760877,0.216501213,0.119238721,0.087461737,MAE
anfis,0.642813635,0.197324329,0.371566997,0.276735999,0.272754749,0.183080665,0.210555559,0.113391516,0.05586522,0.122538497,0.547324505,0.447245885,0.402295735,0.320972262,0.281656186,0.184280505,0.146485858,MAE
arma_d=1,0.319838002,0.088992132,0.112355881,0.133814916,0.142221604,0.094168024,0.100762078,0.061139121,0.036719972,0.073512356,0.292760415,0.264698509,0.232688378,0.196762652,0.167758332,0.119785495,0.087391892,MAE
arma_d=2,0.306859686,0.097823335,0.144606089,0.139807513,0.143023733,0.094229602,0.104937605,0.062534327,0.037405167,0.073553924,0.30372715,0.266202739,0.232852302,0.196780977,0.166025814,0.119572079,0.087461737,MAE
arma,0.025374424,0.006631664,0.010296501,0.013791368,0.012844441,0.021933951,0.046433521,0.017201274,0.006889612,0.008031632,0.020110606,0.019561977,0.017677149,0.016846569,0.040438873,0.010027947,0.007254867,SE
anfis,0.069001661,0.02343096,0.027871373,0.037855952,0.02268937,0.014780107,0.040956372,0.023968836,0.006670866,0.010434893,0.033781163,0.031242984,0.018347197,0.017464692,0.024722391,0.016679922,0.012569534,SE
arma_d=1,0.026714449,0.006030154,0.008179422,0.014714805,0.013242702,0.006652923,0.00714333,0.006057904,0.006491209,0.00776458,0.020050725,0.02094688,0.019389946,0.019070757,0.01272395,0.00984319,0.008398028,SE
arma_d=2,0.027715853,0.00598774,0.010489167,0.014406146,0.011845166,0.006772356,0.007348719,0.005143633,0.00622925,0.008460003,0.02299536,0.021066277,0.020773659,0.020019185,0.011910316,0.011341192,0.007535449,SE
opt_model,arma,arma1,arma1,arma,arma,arma1,arma1,arma1,arma,arma,arma1,arma,arma,arma,arma1,arma,arma,NA
