model,IMF 1,IMF 2,IMF 3,IMF 4,IMF 5,IMF 6,IMF 7,IMF 8,IMF 9,Residual 10,Residual 3,Residual 4,Residual 5,Residual 6,Residual 7,Residual 8,Residual 9,type
anfis,0.784569313,0.189043473,0.327718915,0.28896523,0.313460335,0.180986115,0.154885994,0.1696757,0.062322388,0.112896088,0.636350267,0.514127563,0.438789078,0.277419139,0.238770172,0.283151881,0.136521213,MAE
arma,0.265695525,0.077569756,0.138876691,0.137370507,0.133402712,0.145870746,0.280039117,0.099728981,0.039457229,0.075453534,0.3445775,0.286691549,0.224293412,0.20845851,0.238840428,0.124345014,0.099409057,MAE
arma1,0.273128175,0.07870701,0.127002388,0.138590067,0.133955678,0.107380165,0.093004684,0.078730159,0.038665823,0.075426252,0.345920294,0.287799159,0.224300854,0.208460754,0.172445246,0.126872192,0.098523557,MAE
anfis,0.102174746,0.047095883,0.040317555,0.02910339,0.030889433,0.017198215,0.017080694,0.017095748,0.008140635,0.017067071,0.058514584,0.057694556,0.05363135,0.045328175,0.022645726,0.052701669,0.018829593,SE
arma,0.032828762,0.005667293,0.015001708,0.013655982,0.013942152,0.037306239,0.046657242,0.015940594,0.005477827,0.004523892,0.038880738,0.028955599,0.021707085,0.024052307,0.037843939,0.010902714,0.006106207,SE
arma1,0.03630198,0.006500631,0.014369524,0.014719937,0.014327808,0.012480753,0.009938961,0.007415263,0.005302153,0.004729568,0.035205425,0.028981388,0.022681029,0.024206164,0.01339497,0.012984055,0.006038301,SE
opt_model,arma,arma,arma1,arma,arma,arma1,arma1,arma1,arma1,arma,arma,arma,arma,arma,arma1,arma,arma,NA
