model,IMF 1,IMF 2,IMF 3,IMF 4,IMF 5,IMF 6,IMF 7,IMF 8,IMF 9,Residual 10,Residual 3,Residual 4,Residual 5,Residual 6,Residual 7,Residual 8,Residual 9,type
anfis,0.619766513,0.196085798,0.311935783,0.283327459,0.181698183,0.161271243,0.152904134,0.147673398,0.04676753,0.10712402,0.555520509,0.385194214,0.333289009,0.312748092,0.22541617,0.221419698,0.121534043,MAE
arma,0.271747154,0.091963115,0.109613449,0.127795083,0.109745643,0.156093136,0.432995072,0.144035233,0.03477581,0.074737599,0.29791126,0.2719119,0.225306358,0.17345527,0.315278699,0.131089266,0.082664324,MAE
arma1,0.280606043,0.092998799,0.114292423,0.127599915,0.1098591,0.087755786,0.092258789,0.075629534,0.034841357,0.074357836,0.298417511,0.272213423,0.225448891,0.173460539,0.140481026,0.105540738,0.082901503,MAE
anfis,0.100112061,0.030322789,0.023323042,0.03336166,0.019534174,0.016241172,0.01190113,0.024992869,0.004111828,0.011978284,0.040872029,0.025890984,0.024646379,0.02345304,0.017101794,0.024621602,0.010421264,SE
arma,0.034591321,0.009385369,0.013343322,0.010053444,0.005788016,0.027657229,0.042476821,0.035632122,0.00365692,0.005979962,0.031936335,0.025275588,0.027794287,0.029782268,0.04764748,0.0227368,0.007362856,SE
arma1,0.030449602,0.01088679,0.014637582,0.010158806,0.005902429,0.010013346,0.008299292,0.007932471,0.003326445,0.006524961,0.031914177,0.024674509,0.028378675,0.028431082,0.016829405,0.009457209,0.008111327,SE
opt_model,arma,arma,arma,arma,arma,arma1,arma1,arma1,arma,arma,arma,arma,arma,arma,arma1,arma1,arma,
