model,IMF 1,IMF 2,IMF 3,IMF 4,IMF 5,IMF 6,IMF 7,IMF 8,IMF 9,Residual 10,Residual 3,Residual 4,Residual 5,Residual 6,Residual 7,Residual 8,Residual 9,type
anfis,0.783764106749252,0.276893407855013,0.38565763950613,0.348361777520459,0.256791641483592,0.332898255466781,0.210150777818276,0.112228810188602,0.0736140468437446,0.134283234133537,0.749174653122395,0.523849352566224,0.441157091806151,0.333432447493541,0.234985320117675,0.177762526263434,0.152298277460534,MAE
arma,0.453699944806251,0.0929795458934067,0.186091417772251,0.21042012018818,0.171283053766896,0.408917240038741,0.580303638811252,0.175422027052444,0.0479292142243699,0.0798017456762671,0.481190658001135,0.406638293900478,0.292251026807308,0.20766220579176,0.185532391639475,0.12538661451617,0.0956251702120599,MAE
arma1,0.463333627625469,0.0891963695090669,0.170128048241368,0.212149108916261,0.172139541244084,0.120371253900345,0.100465036067473,0.0858357423356008,0.0462270994163595,0.0796072677691968,0.482472010661036,0.407315051959518,0.292435719619334,0.207665397423162,0.160990946003387,0.106898889615841,0.0951214655359032,MAE
anfis,0.0884024022226652,0.0244625078277764,0.0226699581676321,0.025570710763756,0.0226817223607616,0.0553401206157192,0.0212182562193827,0.0184593849465394,0.013563202942438,0.0169913702757984,0.10251744487862,0.041076326225115,0.034118567195525,0.0302447129707836,0.0142810082473317,0.0211051494691974,0.0206459405216771,SE
arma,0.0612305178436342,0.0133737108474884,0.0329398486610452,0.0206467246151945,0.018469141120911,0.0799786716405149,0.076267665775902,0.055203858943999,0.00586739835698613,0.0105961821697824,0.0593262786556988,0.044793538454516,0.0247435799086097,0.014693647334462,0.0232325052083574,0.0199191404157518,0.0153592633449787,SE
arma1,0.0621171569042077,0.0145994854558734,0.0333885540256675,0.0220102016147142,0.0194191087135924,0.00946563732708464,0.00940121234348306,0.0123359347136704,0.0062583630666974,0.00980879111518071,0.0613491613676828,0.0466237784117806,0.0262492986551183,0.0150585857289498,0.0112780402314949,0.00835792484423784,0.0135265756942351,SE
