model,IMF 1,IMF 2,IMF 3,IMF 4,IMF 5,IMF 6,IMF 7,IMF 8,IMF 9,Residual 10,Residual 3,Residual 4,Residual 5,Residual 6,Residual 7,Residual 8,Residual 9,type
anfis,0.765396055325956,0.40992629745165,0.372464564084114,0.309129819104181,0.208456377243714,0.180303667017834,0.188287497854423,0.127945989409443,0.0655193852762948,0.108096654776874,0.559270411834765,0.491417771067836,0.375932635996392,0.334836334416456,0.249632113346173,0.270709860623368,0.162385573428264,MAE
arma,0.397435835222024,0.131979910572534,0.130603828339316,0.208914325250965,0.134212358788277,0.172810078274124,0.335160448181907,0.128839062876171,0.0314738297687744,0.0660499050682404,0.399078137056488,0.358705705431267,0.235594596686954,0.17058944316909,0.162075270930632,0.121420843689486,0.0838161545175839,MAE
arma1,0.451581543439585,0.141185296673531,0.132411073331507,0.214468580778743,0.134613085912761,0.087601128215011,0.0743988846909967,0.0632192594880626,0.0310287058204404,0.0662260474123857,0.401812373180825,0.359305291806783,0.235729431691051,0.170591645051805,0.126335219848365,0.122267292024469,0.0844695075583941,MAE
anfis,0.0809099878792049,0.0942458220236988,0.0279162650089551,0.0373747016049283,0.0227470752117785,0.0175384248990106,0.0250903852054542,0.0255319380191651,0.00913666224549327,0.0116375712817459,0.0381307715662436,0.0316030633957892,0.0224375099825316,0.0251293767331473,0.0312211392460228,0.0437858929744862,0.0166393620409625,SE
arma,0.0505078280413571,0.042441322502911,0.0108641539521887,0.0202286790084515,0.0116329932766204,0.0320643511238083,0.0702361731975024,0.0194658990709059,0.0033179493254842,0.00804104727377612,0.028976284816314,0.0294056215390022,0.0203522769695814,0.0141769130064845,0.0219137695827531,0.0152741108621172,0.0104317093374015,SE
arma1,0.054797058711577,0.0424805567799128,0.0111414492845492,0.0235807697532904,0.0129060635017806,0.00860073957629381,0.00884818299497501,0.00510216884642731,0.00343088742128542,0.00970297412993159,0.0285080792535189,0.0306051319787802,0.0196144586296107,0.0151916290495895,0.013698744270671,0.0151718497615051,0.00983758444872719,SE
