Nominal,Empirical,kfold,subset,upper,lower,flat_empirical,flat_upper,flat_lower,Model
0.05,0.053519768563163,All,,0.0588928399228544,0.0479689006750241,0.00351976856316297,0.00889283992285438,-0.00203109932497589,Persistence
0.1,0.0879942140790742,All,,0.093900675024108,0.0821450096432015,-0.0120057859209258,-0.006099324975892,-0.0178549903567985,Persistence
0.15,0.120901639344262,All,,0.127353543876567,0.113542671166827,-0.0290983606557377,-0.022646456123433,-0.0364573288331726,Persistence
0.2,0.154411764705882,All,,0.162729026036644,0.147046769527483,-0.0455882352941177,-0.0372709739633559,-0.0529532304725169,Persistence
0.25,0.191658630665381,All,,0.200343539054966,0.183335342333655,-0.0583413693346191,-0.0496564609450338,-0.0666646576663452,Persistence
0.3,0.231798457087753,All,,0.240356798457088,0.22329737222758,-0.0682015429122469,-0.0596432015429122,-0.0767026277724204,Persistence
0.35,0.275554484088717,All,,0.28519768563163,0.266571239151398,-0.0744455159112825,-0.0648023143683703,-0.0834287608486017,Persistence
0.4,0.326663452266152,All,,0.336553760848602,0.316297010607522,-0.0733365477338477,-0.0634462391513983,-0.0837029893924783,Persistence
0.45,0.388379942140791,All,,0.398568587270974,0.377410800385728,-0.0616200578592093,-0.051431412729026,-0.072589199614272,Persistence
0.5,0.490477338476374,All,,0.501084860173578,0.480110896817744,-0.00952266152362585,0.00108486017357767,-0.0198891031822565,Persistence
0.55,0.632232401157184,All,,0.641697806171649,0.621745419479267,0.0822324011571841,0.0916978061716489,0.0717454194792671,Persistence
0.6,0.68731918997107,All,,0.697869455159113,0.677847757955641,0.0873191899710705,0.0978694551591129,0.0778477579556413,Persistence
0.65,0.736499517839923,All,,0.746326542912247,0.727935149469624,0.0864995178399228,0.0963265429122467,0.0779351494696238,Persistence
0.7,0.774951783992286,All,,0.783522179363549,0.765118731918997,0.0749517839922855,0.0835221793635488,0.0651187319189972,Persistence
0.75,0.80930568948891,All,,0.817026277724204,0.800500241080039,0.0593056894889104,0.0670262777242044,0.0505002410800386,Persistence
0.8,0.845708775313404,All,,0.85354387656702,0.838413090646094,0.045708775313404,0.0535438765670202,0.0384130906460944,Persistence
0.85,0.878616200578592,All,,0.88572806171649,0.872227579556413,0.0286162005785922,0.0357280617164899,0.0222275795564127,Persistence
0.9,0.909594985535198,All,,0.915983606557377,0.903447444551591,0.00959498553519767,0.0159836065573771,0.00344744455159107,Persistence
0.95,0.941779170684667,All,,0.94672131147541,0.936291586306654,-0.00822082931533263,-0.00327868852459012,-0.0137084136933462,Persistence
0.05,0.0235053037608486,All,,0.0273053278688525,0.0204285197685632,-0.0264946962391514,-0.0226946721311475,-0.0295714802314368,VAR
0.1,0.0477338476374156,All,,0.0523776518804243,0.0434516634522662,-0.0522661523625844,-0.0476223481195757,-0.0565483365477339,VAR
0.15,0.0778688524590164,All,,0.084148987463838,0.0723812680810029,-0.0721311475409836,-0.065851012536162,-0.0776187319189971,VAR
