Nominal,Empirical,kfold,subset,upper,lower,flat_empirical,flat_upper,flat_lower,Model
0.05,0.0530166726640278,All,,0.0577575866618688,0.0480358642197433,0.00301667266402782,0.00775758666186878,-0.00196413578025668,Persistence
0.1,0.0873215785054576,All,,0.0933189396665467,0.0813811922753988,-0.0126784214945424,-0.00668106033345328,-0.0186188077246012,Persistence
0.15,0.124865059373876,All,,0.132301787213626,0.118028067650234,-0.0251349406261245,-0.017698212786374,-0.0319719323497661,Persistence
0.2,0.159529806884971,All,,0.167932109871656,0.152030106753029,-0.0404701931150294,-0.0320678901283435,-0.0479698932469714,Persistence
0.25,0.203190596137699,All,,0.211889768501859,0.194674343288953,-0.0468094038623006,-0.0381102314981408,-0.0553256567110471,Persistence
0.3,0.246131702051098,All,,0.255859421854384,0.237375554755907,-0.0538682979489025,-0.0441405781456159,-0.0626244452440926,Persistence
0.35,0.296029746911359,All,,0.305625524769102,0.285771260645316,-0.053970253088641,-0.0443744752308984,-0.0642287393546839,Persistence
0.4,0.354324097397145,All,,0.364942425332854,0.342626244452441,-0.0456759026028548,-0.0350575746671465,-0.0573737555475591,Persistence
0.45,0.424373275758666,All,,0.43535144536404,0.413155211706849,-0.0256267242413338,-0.0146485546359602,-0.036844788293151,Persistence
0.5,0.505817440326256,All,,0.517212426532326,0.4939426652273,0.00581744032625642,0.0172124265323258,-0.00605733477269999,Persistence
0.55,0.612690416216865,All,,0.62169245531966,0.602551877174044,0.0626904162168646,0.0716924553196594,0.0525518771740434,Persistence
0.6,0.676862180640518,All,,0.686703850305865,0.667203430490584,0.0768621806405182,0.0867038503058655,0.0672034304905841,Persistence
0.65,0.725920594938227,All,,0.735162528487466,0.716735636320019,0.0759205949382271,0.0851625284874656,0.0667356363200192,Persistence
0.7,0.771140698092839,All,,0.781096317620247,0.762138658990044,0.0711406980928392,0.0810963176202472,0.0621386589900444,Persistence
0.75,0.807604653952261,All,,0.815167326376394,0.799265323257767,0.057604653952261,0.0651673263763943,0.0492653232577666,Persistence
0.8,0.844428451481348,All,,0.851568309943625,0.836329015233297,0.0444284514813481,0.0515683099436247,0.0363290152332973,Persistence
0.85,0.876094518411899,All,,0.883171404581984,0.869074607172844,0.0260945184118988,0.033171404581984,0.0190746071728439,Persistence
0.9,0.906321218663788,All,,0.912804366078925,0.900203910279477,0.00632121866378788,0.0128043660789252,0.000203910279476971,Persistence
0.95,0.939066810603335,All,,0.944590380232698,0.933549238335133,-0.0109331893966654,-0.00540961976730237,-0.0164507616648674,Persistence
0.05,0.148494662348567,All,,0.155931390188317,0.140698092839151,0.0984946623485666,0.105931390188317,0.0906980928391508,VAR
0.1,0.188197193234977,All,,0.196416576706249,0.178898284754708,0.0881971932349766,0.0964165767062492,0.0788982847547079,VAR
0.15,0.227899724121387,All,,0.236478949262325,0.219314501619288,0.0778997241213866,0.0864789492623246,0.0693145016192875,VAR
