,Persistence,VAR,MC,EMD
Persistence,0,0.12177516,0.044413968,-0.327391158
VAR,-0.138660574,0,-0.08808814,-0.511447978
MC,-0.046478251,0.080956805,0,-0.389085978
EMD,0.246642564,0.338382786,0.280102156,0
